Cruise,Station,Gear,FishNum,Family,Taxon,Idconfirm,GeneticID,FF,DatePro,PhotoNum,SL,FL,TL,Wt,TGW,EGW,GutMB,GutV.ID,SIA,FishBarcoding,Prey_Num,Prey_Taxon,Obs_Length,Mag,Actual_Length,TotalNumPrey,TotalPrey_gut,Date_MorphID,SwimBladder,Gonads,Gonwt,Sex,Gonadpreservative,Head,Comments,Comments_PostDissection,Gut_comments,Prey_Comments
HB1907,2,MWT1,6,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,8/19/2019,7503,40,41,57,1.6656,0.0643,NA,N,Y,Y,Y,2,Euphausidacea,NA,NA,NA,NA,2,6/22/2020,DA,N,NA,?,NA,Y,"Maybe small amount of gonads found but not saved. Could be fat. Three parasites near gonad could be flat worms, iphone photo taken through scope.",NA,"gut very small, black",NA
HB1907,2,MWT1,9,Myctophidae,Diaphus perspicillatus,Yes - DNA,Diaphus perspicillatus,N,8/19/2019,7508,36,37,43,0.9083,0.0664,NA,N,Y,Y,Y,NA,UnknownSoft,NA,NA,NA,1,4,6/23/2020,?,N,NA,?,NA,Y,NA,NA,NA,NA
HB1907,2,MWT1,9,Myctophidae,Diaphus perspicillatus,Yes - DNA,Diaphus perspicillatus,N,8/19/2019,7508,36,37,43,0.9083,0.0664,NA,N,Y,Y,Y,1,UnknownSoft,NA,NA,NA,NA,4,6/23/2020,?,N,NA,?,NA,Y,NA,NA,NA,NA
HB1907,2,MWT1,9,Myctophidae,Diaphus perspicillatus,Yes - DNA,Diaphus perspicillatus,N,8/19/2019,7508,36,37,43,0.9083,0.0664,NA,N,Y,Y,Y,NA,Candacia,NA,NA,NA,1,4,6/23/2020,?,N,NA,?,NA,Y,NA,NA,NA,NA
HB1907,2,MWT1,9,Myctophidae,Diaphus perspicillatus,Yes - DNA,Diaphus perspicillatus,N,8/19/2019,7508,36,37,43,0.9083,0.0664,NA,N,Y,Y,Y,2,Candacia,1.7,0.8,2.13,NA,4,6/23/2020,?,N,NA,?,NA,Y,NA,NA,NA,NA
HB1907,2,MWT1,9,Myctophidae,Diaphus perspicillatus,Yes - DNA,Diaphus perspicillatus,N,8/19/2019,7508,36,37,43,0.9083,0.0664,NA,N,Y,Y,Y,NA,Copepod,NA,NA,NA,1,4,6/23/2020,?,N,NA,?,NA,Y,NA,NA,NA,NA
HB1907,2,MWT1,9,Myctophidae,Diaphus perspicillatus,Yes - DNA,Diaphus perspicillatus,N,8/19/2019,7508,36,37,43,0.9083,0.0664,NA,N,Y,Y,Y,3,Copepod,NA,NA,NA,NA,4,6/23/2020,?,N,NA,?,NA,Y,NA,NA,NA,NA
HB1907,2,MWT1,9,Myctophidae,Diaphus perspicillatus,Yes - DNA,Diaphus perspicillatus,N,8/19/2019,7508,36,37,43,0.9083,0.0664,NA,N,Y,Y,Y,NA,DigAmphipod,NA,NA,NA,1,4,6/23/2020,?,N,NA,?,NA,Y,NA,NA,NA,NA
HB1907,2,MWT1,9,Myctophidae,Diaphus perspicillatus,Yes - DNA,Diaphus perspicillatus,N,8/19/2019,7508,36,37,43,0.9083,0.0664,NA,N,Y,Y,Y,4,DigAmphipod,NA,NA,NA,NA,4,6/23/2020,?,N,NA,?,NA,Y,NA,NA,NA,NA
HB1907,2,MWT1,10,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,8/19/2019,7509,42,NA,54,1.2008,0.0656,NA,N,Y,Y,Y,NA,DigCopepod,NA,NA,NA,1,1,6/23/2020,?,N,NA,?,NA,Y,"Maybe small gonads found, but not saved, could be fat or very immature.",NA,small black gut,NA
HB1907,2,MWT1,10,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,8/19/2019,7509,42,NA,54,1.2008,0.0656,NA,N,Y,Y,Y,1,DigCopepod,NA,NA,NA,NA,1,6/23/2020,?,N,NA,?,NA,Y,"Maybe small gonads found, but not saved, could be fat or very immature.",NA,small black gut,smaller than C. finmarchicus
HB1907,2,MWT1,11,Bathylagidae,Dolicholagus longirostris,Yes - DNA,Dolicholagus longirostris,N,8/19/2019,7510-11,64,NA,73,1.2945,0.1023,NA,N,Y,Y,Y,NA,DigAmphipod,NA,NA,NA,2,2,6/22/2020,N,Y,0.0017,M?,F-W-E,Y,"From bag 26. Gonad speckled, doesn't really look like eggs. Gut damaged and leaking contents before dissection.",NA,"gut long and black, looks like white speckled gonad strip along gut, black part of gut empty",NA
HB1907,2,MWT1,11,Bathylagidae,Dolicholagus longirostris,Yes - DNA,Dolicholagus longirostris,N,8/19/2019,7510-11,64,NA,73,1.2945,0.1023,NA,N,Y,Y,Y,1,DigAmphipod,NA,NA,NA,NA,2,6/22/2020,N,Y,0.0017,M?,F-W-E,Y,"From bag 26. Gonad speckled, doesn't really look like eggs. Gut damaged and leaking contents before dissection.",NA,"gut long and black, looks like white speckled gonad strip along gut, black part of gut empty",NA
HB1907,2,MWT1,11,Bathylagidae,Dolicholagus longirostris,Yes - DNA,Dolicholagus longirostris,N,8/19/2019,7510-11,64,NA,73,1.2945,0.1023,NA,N,Y,Y,Y,2,DigAmphipod,NA,NA,NA,NA,2,6/22/2020,N,Y,0.0017,M?,F-W-E,Y,"From bag 26. Gonad speckled, doesn't really look like eggs. Gut damaged and leaking contents before dissection.",NA,"gut long and black, looks like white speckled gonad strip along gut, black part of gut empty",NA
HB1907,2,MWT1,13,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7513,54,NA,67,1.5861,0.0878,NA,N,Y,Y,Y,NA,UnknownSoft,NA,NA,NA,1,3,7/20/2020,DA,N,NA,?,NA,Y,Very long caudal fin rays. Others likely slightly broken off near end. Possibly very small gonads but not saved.,NA,gut black,NA
HB1907,2,MWT1,13,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7513,54,NA,67,1.5861,0.0878,NA,N,Y,Y,Y,1,UnknownSoft,NA,NA,NA,NA,3,7/20/2020,DA,N,NA,?,NA,Y,Very long caudal fin rays. Others likely slightly broken off near end. Possibly very small gonads but not saved.,NA,gut black,NA
HB1907,2,MWT1,13,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7513,54,NA,67,1.5861,0.0878,NA,N,Y,Y,Y,NA,Hyperiidea,NA,NA,NA,1,3,7/20/2020,DA,N,NA,?,NA,Y,Very long caudal fin rays. Others likely slightly broken off near end. Possibly very small gonads but not saved.,NA,gut black,NA
HB1907,2,MWT1,13,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7513,54,NA,67,1.5861,0.0878,NA,N,Y,Y,Y,2,Hyperiidea,3.8,0.8,4.75,NA,3,7/20/2020,DA,N,NA,?,NA,Y,Very long caudal fin rays. Others likely slightly broken off near end. Possibly very small gonads but not saved.,NA,gut black,"well preserved front half, rest of body crubmling apart"
HB1907,2,MWT1,13,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7513,54,NA,67,1.5861,0.0878,NA,N,Y,Y,Y,NA,Calanoid,NA,NA,NA,1,3,7/20/2020,DA,N,NA,?,NA,Y,Very long caudal fin rays. Others likely slightly broken off near end. Possibly very small gonads but not saved.,NA,gut black,NA
HB1907,2,MWT1,13,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7513,54,NA,67,1.5861,0.0878,NA,N,Y,Y,Y,3,Calanoid,1.5,0.8,1.875,NA,3,7/20/2020,DA,N,NA,?,NA,Y,Very long caudal fin rays. Others likely slightly broken off near end. Possibly very small gonads but not saved.,NA,gut black,NA
HB1907,2,MWT1,14,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7514,60,NA,74,3.2349,0.2104,NA,N,Y,Y,Y,NA,Cavolinioidea,NA,NA,NA,1,12,7/19/2020,IA,Y,0.1025,F,F-W-E,Y,"Gonads large, swim baldder very small only visible under scope.",NA,gut black,NA
HB1907,2,MWT1,14,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7514,60,NA,74,3.2349,0.2104,NA,N,Y,Y,Y,1,Cavolinioidea,1.6,0.8,2,NA,12,7/19/2020,IA,Y,0.1025,F,F-W-E,Y,"Gonads large, swim baldder very small only visible under scope.",NA,gut black,NA
HB1907,2,MWT1,14,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7514,60,NA,74,3.2349,0.2104,NA,N,Y,Y,Y,NA,UnknownSoft,NA,NA,NA,9,12,7/19/2020,IA,Y,0.1025,F,F-W-E,Y,"Gonads large, swim baldder very small only visible under scope.",NA,gut black,NA
HB1907,2,MWT1,14,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7514,60,NA,74,3.2349,0.2104,NA,N,Y,Y,Y,2,UnknownSoft,NA,NA,NA,NA,12,7/19/2020,IA,Y,0.1025,F,F-W-E,Y,"Gonads large, swim baldder very small only visible under scope.",NA,gut black,NA
HB1907,2,MWT1,14,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7514,60,NA,74,3.2349,0.2104,NA,N,Y,Y,Y,3,UnknownSoft,NA,NA,NA,NA,12,7/19/2020,IA,Y,0.1025,F,F-W-E,Y,"Gonads large, swim baldder very small only visible under scope.",NA,gut black,NA
HB1907,2,MWT1,14,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7514,60,NA,74,3.2349,0.2104,NA,N,Y,Y,Y,4,UnknownSoft,NA,NA,NA,NA,12,7/19/2020,IA,Y,0.1025,F,F-W-E,Y,"Gonads large, swim baldder very small only visible under scope.",NA,gut black,NA
HB1907,2,MWT1,14,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7514,60,NA,74,3.2349,0.2104,NA,N,Y,Y,Y,5,UnknownSoft,NA,NA,NA,NA,12,7/19/2020,IA,Y,0.1025,F,F-W-E,Y,"Gonads large, swim baldder very small only visible under scope.",NA,gut black,NA
HB1907,2,MWT1,14,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7514,60,NA,74,3.2349,0.2104,NA,N,Y,Y,Y,6,UnknownSoft,NA,NA,NA,NA,12,7/19/2020,IA,Y,0.1025,F,F-W-E,Y,"Gonads large, swim baldder very small only visible under scope.",NA,gut black,NA
HB1907,2,MWT1,14,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7514,60,NA,74,3.2349,0.2104,NA,N,Y,Y,Y,NA,Pleuromamma,NA,NA,NA,1,12,7/19/2020,IA,Y,0.1025,F,F-W-E,Y,"Gonads large, swim baldder very small only visible under scope.",NA,gut black,NA
HB1907,2,MWT1,14,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7514,60,NA,74,3.2349,0.2104,NA,N,Y,Y,Y,7,Pleuromamma,2.3,0.8,2.88,NA,12,7/19/2020,IA,Y,0.1025,F,F-W-E,Y,"Gonads large, swim baldder very small only visible under scope.",NA,gut black,NA
HB1907,2,MWT1,14,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7514,60,NA,74,3.2349,0.2104,NA,N,Y,Y,Y,8,UnknownSoft,NA,NA,NA,NA,12,7/19/2020,IA,Y,0.1025,F,F-W-E,Y,"Gonads large, swim baldder very small only visible under scope.",NA,gut black,NA
HB1907,2,MWT1,14,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7514,60,NA,74,3.2349,0.2104,NA,N,Y,Y,Y,9,UnknownSoft,NA,NA,NA,NA,12,7/19/2020,IA,Y,0.1025,F,F-W-E,Y,"Gonads large, swim baldder very small only visible under scope.",NA,gut black,NA
HB1907,2,MWT1,14,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7514,60,NA,74,3.2349,0.2104,NA,N,Y,Y,Y,10,UnknownSoft,NA,NA,NA,NA,12,7/19/2020,IA,Y,0.1025,F,F-W-E,Y,"Gonads large, swim baldder very small only visible under scope.",NA,gut black,NA
HB1907,2,MWT1,14,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7514,60,NA,74,3.2349,0.2104,NA,N,Y,Y,Y,NA,Hyperiidea,NA,NA,NA,NA,12,7/19/2020,IA,Y,0.1025,F,F-W-E,Y,"Gonads large, swim baldder very small only visible under scope.",NA,gut black,NA
HB1907,2,MWT1,14,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7514,60,NA,74,3.2349,0.2104,NA,N,Y,Y,Y,11,Hyperiidea,3.4,0.8,4.25,NA,12,7/19/2020,IA,Y,0.1025,F,F-W-E,Y,"Gonads large, swim baldder very small only visible under scope.",NA,gut black,probably Phronima sp.
HB1907,2,MWT1,14,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7514,60,NA,74,3.2349,0.2104,NA,N,Y,Y,Y,12,UnknownSoft,NA,NA,NA,NA,12,7/19/2020,IA,Y,0.1025,F,F-W-E,Y,"Gonads large, swim baldder very small only visible under scope.",NA,gut black,NA
HB1907,2,MWT1,15,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7515,46,NA,58,1.4774,0.1043,NA,N,Y,Y,Y,NA,Appendicularian,NA,NA,NA,3,6,6/22/2020,DA,Y,0.0018,Im F,F-W-E,Y,"Gonad saved but very small, maybe female.",NA,"foregut black, hindgtu white/clear; gen fish ID might be updated later",NA
HB1907,2,MWT1,15,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7515,46,NA,58,1.4774,0.1043,NA,N,Y,Y,Y,1,Appendicularian,NA,NA,NA,NA,6,6/22/2020,DA,Y,0.0018,Im F,F-W-E,Y,"Gonad saved but very small, maybe female.",NA,"foregut black, hindgtu white/clear; gen fish ID might be updated later",NA
HB1907,2,MWT1,15,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7515,46,NA,58,1.4774,0.1043,NA,N,Y,Y,Y,2,Appendicularian,NA,NA,NA,NA,6,6/22/2020,DA,Y,0.0018,Im F,F-W-E,Y,"Gonad saved but very small, maybe female.",NA,"foregut black, hindgtu white/clear; gen fish ID might be updated later",NA
HB1907,2,MWT1,15,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7515,46,NA,58,1.4774,0.1043,NA,N,Y,Y,Y,3,Appendicularian,NA,NA,NA,NA,6,6/22/2020,DA,Y,0.0018,Im F,F-W-E,Y,"Gonad saved but very small, maybe female.",NA,"foregut black, hindgtu white/clear; gen fish ID might be updated later",NA
HB1907,2,MWT1,15,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7515,46,NA,58,1.4774,0.1043,NA,N,Y,Y,Y,NA,Calanoid,NA,NA,NA,1,6,6/22/2020,DA,Y,0.0018,Im F,F-W-E,Y,"Gonad saved but very small, maybe female.",NA,"foregut black, hindgtu white/clear; gen fish ID might be updated later",NA
HB1907,2,MWT1,15,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7515,46,NA,58,1.4774,0.1043,NA,N,Y,Y,Y,4,Calanoid,2.8,0.8,3.5,NA,6,6/22/2020,DA,Y,0.0018,Im F,F-W-E,Y,"Gonad saved but very small, maybe female.",NA,"foregut black, hindgtu white/clear; gen fish ID might be updated later",Scolecithricidae- removed for ID
HB1907,2,MWT1,15,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7515,46,NA,58,1.4774,0.1043,NA,N,Y,Y,Y,NA,Mysis,NA,NA,NA,2,6,6/22/2020,DA,Y,0.0018,Im F,F-W-E,Y,"Gonad saved but very small, maybe female.",NA,"foregut black, hindgtu white/clear; gen fish ID might be updated later",NA
HB1907,2,MWT1,15,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7515,46,NA,58,1.4774,0.1043,NA,N,Y,Y,Y,5,Mysis,NA,NA,NA,NA,6,6/22/2020,DA,Y,0.0018,Im F,F-W-E,Y,"Gonad saved but very small, maybe female.",NA,"foregut black, hindgtu white/clear; gen fish ID might be updated later",NA
HB1907,2,MWT1,15,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7515,46,NA,58,1.4774,0.1043,NA,N,Y,Y,Y,6,Mysis,NA,NA,NA,NA,6,6/22/2020,DA,Y,0.0018,Im F,F-W-E,Y,"Gonad saved but very small, maybe female.",NA,"foregut black, hindgtu white/clear; gen fish ID might be updated later",NA
HB1907,2,MWT1,18,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7520-21,45,50,58,1.4001,0.0787,NA,N,Y,Y,Y,NA,Appendicularian,NA,NA,NA,1,4,7/20/2020,DA,N,NA,Im,NA,Y,"Some of the fish have white mark on dorsal side of tail, others like this one don't. (male vs female?).",NA,gut black,NA
HB1907,2,MWT1,18,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7520-21,45,50,58,1.4001,0.0787,NA,N,Y,Y,Y,1,Appendicularian,2.8,0.8,3.5,NA,4,7/20/2020,DA,N,NA,Im,NA,Y,"Some of the fish have white mark on dorsal side of tail, others like this one don't. (male vs female?).",NA,gut black,NA
HB1907,2,MWT1,18,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7520-21,45,50,58,1.4001,0.0787,NA,N,Y,Y,Y,NA,Pteropoda,NA,NA,NA,1,4,7/20/2020,DA,N,NA,Im,NA,Y,"Some of the fish have white mark on dorsal side of tail, others like this one don't. (male vs female?).",NA,gut black,NA
HB1907,2,MWT1,18,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7520-21,45,50,58,1.4001,0.0787,NA,N,Y,Y,Y,2,Pteropoda,NA,NA,NA,NA,4,7/20/2020,DA,N,NA,Im,NA,Y,"Some of the fish have white mark on dorsal side of tail, others like this one don't. (male vs female?).",NA,gut black,NA
HB1907,2,MWT1,18,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7520-21,45,50,58,1.4001,0.0787,NA,N,Y,Y,Y,NA,UnknownSoft,NA,NA,NA,1,4,7/20/2020,DA,N,NA,Im,NA,Y,"Some of the fish have white mark on dorsal side of tail, others like this one don't. (male vs female?).",NA,gut black,NA
HB1907,2,MWT1,18,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7520-21,45,50,58,1.4001,0.0787,NA,N,Y,Y,Y,3,UnknownSoft,NA,NA,NA,NA,4,7/20/2020,DA,N,NA,Im,NA,Y,"Some of the fish have white mark on dorsal side of tail, others like this one don't. (male vs female?).",NA,gut black,NA
HB1907,2,MWT1,18,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7520-21,45,50,58,1.4001,0.0787,NA,N,Y,Y,Y,NA,Euphausidacea,NA,NA,NA,1,4,7/20/2020,DA,N,NA,Im,NA,Y,"Some of the fish have white mark on dorsal side of tail, others like this one don't. (male vs female?).",NA,gut black,NA
HB1907,2,MWT1,18,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7520-21,45,50,58,1.4001,0.0787,NA,N,Y,Y,Y,4,Euphausidacea,NA,NA,NA,NA,4,7/20/2020,DA,N,NA,Im,NA,Y,"Some of the fish have white mark on dorsal side of tail, others like this one don't. (male vs female?).",NA,gut black,NA
HB1907,2,MWT1,20,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7523,46,NA,57,1.462,0.1107,NA,N,Y,Y,Y,NA,Appendicularian,NA,NA,NA,2,5,6/24/2020,N,Y,0.002,F,F-W-E,Y,No swim bladder visible.,NA,NA,NA
HB1907,2,MWT1,20,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7523,46,NA,57,1.462,0.1107,NA,N,Y,Y,Y,1,Appendicularian,0.9,0.8,1.13,NA,5,6/24/2020,N,Y,0.002,F,F-W-E,Y,No swim bladder visible.,NA,NA,NA
HB1907,2,MWT1,20,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7523,46,NA,57,1.462,0.1107,NA,N,Y,Y,Y,2,Appendicularian,1.2,0.8,1.5,NA,5,6/24/2020,N,Y,0.002,F,F-W-E,Y,No swim bladder visible.,NA,NA,NA
HB1907,2,MWT1,20,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7523,46,NA,57,1.462,0.1107,NA,N,Y,Y,Y,NA,UnknownSoft,NA,NA,NA,2,5,6/24/2020,N,Y,0.002,F,F-W-E,Y,No swim bladder visible.,NA,NA,NA
HB1907,2,MWT1,20,Myctophidae,Ceratoscopelus sp.,To genus Yes - visually PEC,NA,N,8/20/2019,7523,46,NA,57,1.462,0.1107,NA,N,Y,Y,Y,3,UnknownSoft,NA,NA,NA,NA,5,6/24/2020,N,Y,0.002,F,F-W-E,Y,No swim bladder visible.,NA,NA,NA
